# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6282
  417 416.5 0.007058 3.06337e-06
  418 417.5 0.007104 3.08333e-06
  419 418.5 0.007116 3.08854e-06
  420 419.5 0.007132 3.09549e-06
  421 420.5 0.007124 3.09201e-06
  422 421.5 0.007102 3.08247e-06
  423 422.5 0.007076 3.07118e-06
  424 423.5 0.006996 3.03646e-06
  425 424.5 0.006954 3.01823e-06
  426 425.5 0.007 3.03819e-06
  427 426.5 0.00704 3.05556e-06
  428 427.5 0.007294 3.1658e-06
  429 428.5 0.00699 3.03385e-06
  430 429.5 0.007 3.03819e-06
  431 430.5 0.007004 3.03993e-06
  432 431.5 0.0074 3.21181e-06
  433 432.5 0.008526 3.70052e-06
  434 433.5 0.007256 3.14931e-06
  435 434.5 0.007178 3.11545e-06
  436 435.5 0.007134 3.09635e-06
  437 436.5 0.00719 3.12066e-06
  438 437.5 0.007154 3.10503e-06
  439 438.5 0.007202 3.12587e-06
  440 439.5 0.007292 3.16493e-06
  441 440.5 0.007244 3.1441e-06
  442 441.5 0.007216 3.13194e-06
  443 442.5 0.00725 3.1467e-06
  444 443.5 0.007346 3.18837e-06
  445 444.5 0.007364 3.19618e-06
  446 445.5 0.007202 3.12587e-06
  447 446.5 0.007192 3.12153e-06
  448 447.5 0.007184 3.11806e-06
  449 448.5 0.007242 3.14323e-06
  450 449.5 0.007184 3.11806e-06
  451 450.5 0.007172 3.11285e-06
  452 451.5 0.00713 3.09462e-06
  453 452.5 0.00716 3.10764e-06
  454 453.5 0.007132 3.09549e-06
  455 454.5 0.00715 3.1033e-06
  456 455.5 0.007166 3.11024e-06
  457 456.5 0.006976 3.02778e-06
  458 457.5 0.006956 3.0191e-06
  459 458.5 0.006952 3.01736e-06
  460 459.5 0.007012 3.0434e-06
  461 460.5 0.00687 2.98177e-06
  462 461.5 0.006856 2.97569e-06
  463 462.5 0.006814 2.95747e-06
  464 463.5 0.007164 3.10938e-06
  465 464.5 0.007606 3.30122e-06
  466 465.5 0.00748 3.24653e-06
  467 466.5 0.007492 3.25174e-06
  468 467.5 0.007854 3.40885e-06
  469 468.5 0.007734 3.35677e-06
  470 469.5 0.007624 3.30903e-06
  471 470.5 0.009296 4.03472e-06
  472 471.5 0.009292 4.03299e-06
  473 472.5 0.01039 4.50955e-06
  474 473.5 0.014166 6.14844e-06
  475 474.5 0.022134 9.60677e-06
  476 475.5 0.051296 2.22639e-05
  477 476.5 0.143868 6.24427e-05
  478 477.5 0.412218 0.000178914
  479 478.5 1.06124 0.000460606
  480 479.5 2.32237 0.00100797
30000000 480 6282.000000000001
  1 0.5 6.4251 0.00278867
  2 1.5 7.78776 0.00338011
  3 2.5 8.13479 0.00353072
  4 3.5 7.89088 0.00342486
  5 4.5 7.51997 0.00326388
  6 5.5 7.04672 0.00305847
  7 6.5 6.55736 0.00284608
  8 7.5 6.18192 0.00268312
  9 8.5 5.85088 0.00253944
  10 9.5 5.54802 0.00240799
  11 10.5 5.28116 0.00229217
  12 11.5 5.15739 0.00223845
  13 12.5 5.02076 0.00217915
  14 13.5 4.91523 0.00213335
  15 14.5 4.87943 0.00211781
  16 15.5 4.85748 0.00210828
  17 16.5 4.80162 0.00208404
  18 17.5 4.78328 0.00207608
  19 18.5 4.7716 0.00207101
  20 19.5 4.82489 0.00209414
  21 20.5 4.84834 0.00210431
  22 21.5 4.83297 0.00209764
  23 22.5 4.87137 0.00211431
  24 23.5 4.87131 0.00211429
  25 24.5 4.837 0.00209939
  26 25.5 4.79939 0.00208307
  27 26.5 4.79264 0.00208014
  28 27.5 4.79468 0.00208102
  29 28.5 4.79163 0.0020797
  30 29.5 4.72015 0.00204868
  31 30.5 4.69136 0.00203618
  32 31.5 4.66083 0.00202293
  33 32.5 4.68295 0.00203253
  34 33.5 4.66136 0.00202316
